Item,Location,Sublocation,Serial,Quantity
CALIBRANT FLUID PACK CP100,"DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,1
CALIBRANT FLUID PACK CP100,"DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,1
CALIBRATION DEVICE,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,9
"CALIBRATOR 1, 400ML ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,31
"CALIBRATOR 2, 200ML ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,6
CAP FOR SEALED BUKETS,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,16
"CAPICLEAN ENZYMATIC SOLUTION, 25ML ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,3
CAPILLARY CARTRIDGE,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,6
"CAPILLARY TUBES, PER VIALS ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,8
CAPP 2-20UL PIPETTE,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
CAPP 5-50ul pipette,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
"CAPP BRAVO PIPETTE, 1-10 ML ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,5
CAPP CLINICAL CENTRIFUGE ,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
"CAPP CLINICAL CENTRIFUGE, UNT ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
CAPP PIPETTE 100-1000UL ,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,64
"CAPP PIPETTE STAND, 5 STANDS ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
"CAPP PIPETTE STAND, 5 STANDS ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,6
"CAPP PIPETTE STAND, STAND ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
"CAPP PIPETTE STAND, STAND ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,1
"CAPP PIPETTE, 0.5-10UL ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,14
"CAPP PIPETTE, 20-200UL ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,2
"CAPP PIPETTE, 20-200UL ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,7
"CAPP PIPPETTE, 1-5ML ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
"CAPP PIPPETTE, 1-5ML ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,42
"CAPP RANDO CENTRIFUGE VAR SPEED,  ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 3,,1
CAPP REAGENT RESERVIOR,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,8
CAPP REAGENT RESERVOIR,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,2
CAPP RONDO DIGITAL STIRRER,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
CAPP RONDO MICRO CENTRIFUGE,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
"CATHODE TANK, PC","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,1
CE GSM-REMOTE/ALARM MODULE,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
"CEA ,   PK ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,2
"CELETRON MICROSCOPE, PCS ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 8,,4
"CELLULOSE ACETATE PAPER, PCS ","DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,50
CENTRIFUGE ADAPTOR,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,1
CENTRIFUGE ADAPTOR,DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,1
CENTRIFUGE BASE,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,8
CENTRIFUGE BOARD,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,2
CENTRIFUGE BOARD,"DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,1
CENTRIFUGE ROTOR,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,1
CENTRIFUGE TUBE- MICRO WITH SAFE LOCK CAP 1.5ML STERILE 500 PACKS,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",DCLWarehouse - Abuja,,1
CENTRIFUGE TUBE- MICRO WITH SAFE LOCK CAP 1.5ML STERILE 500 PACKS,"DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",Lagos Warehouse,,7
centrifuge tubes - clear - screw cap - P.P - 15 ml - sterilised - aseptic - bulk pack  - 50 - Pack,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",DCLWarehouse - Abuja,,10
centrifuge tubes - clear - screw cap - P.P - 15 ml - sterilised - aseptic - bulk pack  - 50 - Pack,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,10
centrifuge tubes - clear - screw cap - P.P - 15 ml - sterilised - aseptic - bulk pack  - 50 - Pack,"DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",Lagos Warehouse,,200
"CHINA ELETROPHORESIS CELL,PC","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 10,,2
"CHLORIDE  ELECTRODE, P C ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,14
"CHLORIDE  ELECTRODE, P C ",DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,2
"CHLORIDE  ELECTRODE, P C ","DCL Laboratory Products Ltd, Enugu",,,1
"CHLORIDE ELECTRODE,+ ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,2
"CHLORIDE ELECTRODE,+ ",DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,12
"CHLORIDE ELECTRODE,+ ","DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,1
"CHLORIDE ELECTRODE,+ ","DCL Laboratory Products Ltd, Enugu",,,1
"CHLORIDE, 2X 125 ML ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,11
"CHLORIDE, 2X 125 ML ",DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,1
"CHOLESTEROL +STD 4X250, 4X250  ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,15
"CHOLESTEROL +STD 4X250, 4X250  ",DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,-1
"CHOLESTEROL +STD 4X250, 4X250  ","DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,1
"CHOLESTEROL +STD 4X250, 4X250  ","DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,2
CHOLESTEROL LDL SL 2G 4X28,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,6
CHOLESTEROL LDL SL 2G 4X28,"DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,2
"CHOLESTEROL PAP SL + STD, 6X 100 ML ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,15
"CHOLESTEROL PAP SL + STD, 6X 100 ML ",DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,1
"CHOLESTEROL PAP SL + STD, 6X 100 ML ","DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,9
"CHOLESTEROL PAP SL + STD, 6X 100 ML ","DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,1
"CHOLESTEROL PAP SL, 6X45 ML ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,30
"CHOLESTEROL PAP SL, 6X45 ML ","DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,1
"CHOLESTEROL SL, 12X20ML   ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,8
"CHOLESTEROL SL, 12X20ML   ","DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,7
"CHOLESTEROL SL, 12X20ML   ","DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,3
"CHOLESTEROL TOTAL SL WITH STANDARD, 2X100 ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,26
"CHROMATE ELISA ANALYZER, UNIT   ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
CIRCULATOR/WATER BATH,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
CIRCULATOR/WATER BATH,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 4,,9
CIRCULATORY SYSTEM MODEL,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 2,,1
"CK MB, PK  ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,5
CK-MB MINI VIDAS,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,10
CK-MB MINI VIDAS,"DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,1
"CK-MB SL, 4X25 ML ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,2
"CK-MB/CK-NAC CALIBRATOR, 1X2ML ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,2
"CK-NAC SL, 4X25 ML  ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,4
"CL- ELECTRODE,  PC ","DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,1
"CL ELECTRODE, PCS ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,2
"CLEANING SOLUTION, BTL ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,79
"CLEANING SOLUTION, BTL ",DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,5
"CLEANING SOLUTION, BTL ","DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,5
"CLEAVER ELECTROPHORESIS, UNIT","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
CLINIC IN A BAG,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 2,,1
C-MOUNT ADAPTER FOR 1/2 SENSOR,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 5,,1
"CO2   STANDARD, ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,60
"CO2   STANDARD, ",DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,2
"CO2   STANDARD, ","DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,6
"CO2   STANDARD, ","DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,2
CO2 BOARD ASSEMBLY,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,2
CO2 ELECTRODE,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,1
CO2 ELECTRODE,"DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,5
CO2 ELECTRODE,"DCL Laboratory Products Ltd, Enugu",,,4
CO2 REACTION CHAMBER,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,5
CoagS INR test kit,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,4
CoagS POC INR system ,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 4,,2
COLD CENTRIFUGE,DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,1
COLD CENTRIFUGE STAND,"DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,1
COLLECTING CASK ASSY,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,2
"COLORIMETER, UNT ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 8,,13
"COMBO BLOOD DONATION CHAIR,   UNIT  ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
"COMBO BLOOD DONATION CHAIR,   UNIT  ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 10,,2
"COMEN FETAL MATERNAL MONITOR, UNIT ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,2
"COMEN FETAL MATERNAL MONITOR, UNIT ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 10,,1
COMPRESSOR,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,1
"CONICAL FLASK 500ML, PC   ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 2,,3
"CONICAL FLASK, PC  ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 4,,1
CONNECTING BOARD MTPT-M1 FOR HEATING POT POS 12,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
CONNECTING BOARD MTPT-M2 FOR HEATING POT POS,"DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,1
CONNECTING CABLE,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,2
CONNECTING CABLES FORK LIGHT BARRIER UGL-S2,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,3
"CONNECTING TUBE ASSAY, TUBE ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,50
"CONNECTION BLOCK, UNIT ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,4
"CONNECTION BLOCK, UNIT ","DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,1
CONSTANT TEMPERATURE INCUBATOR,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",DCLWarehouse - Abuja,,4
"CONTROL PLASMA N, 5X1ML ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,2
"CONTROL PLASMA N, 5X1ML ",DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,-1
"CONTROL PLASMA N, 5X1ML ","DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,6
CONTROL PLASMA P,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,14
CONTROL PLASMA P,DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,-1
CONTROL PLASMA P,"DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,3
cool pack frieght (Stocked Product),"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,1
COOL POD FOR PCR CHAMBER,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 4,,4
COOLERS,"DCL Laboratory Products Ltd, Enugu",,,2
COOLING LIQUID,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,12
COOLING LIQUID,"DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,1
"COOLING PLATE,  MPS/C","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,2
COOLING UNIT,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,1
COPLIN JAR CAP 10 SLIDES,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 2,,10
COPLIN JAR CAP 10 SLIDES,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,1
"CORTISOL, PK ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,5
"Cotton wool, absorbent ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",DCLWarehouse - Abuja,,30
"Cotton wool, absorbent ","DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",Lagos Warehouse,,930
"COUNTING CHAMBERS FOR M18/22/22CT, PC  ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,3
"COUNTING CHAMBERS FOR M18/22/22CT, PC  ",DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,1
COUNTING MANIFOLD,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,5
COUNTING MANIFOLD,"DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,1
"COVER ALL, PC.... ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 9,,750
COVER CUVETTEN KRANS,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,1
"COVER SLIPS(500PC/CASE), CASE ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,2
"CPU 3.6V BATTERY,  ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,4
CPU BOARD,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,2
"CPU BOARD, PC ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,1
CPU MAIN BOARD,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,1
CPU PLOTTER BOARD,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,1
CREATINE JAFFE 4X250ML+5X1ML,"DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,1
"CREATININE JAFFE, 2X 125 ML + STD","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,33
"CREATININE JAFFE, 2X 125 ML + STD",DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,1
"CREATININE JAFFE, 2X 125 ML + STD","DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,4
"CREATININE JAFFE, 4X250 ML ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,1
"CREATININE JAFFE, 4X250 ML ",DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,4
"CREATININE JAFFE, 4X250 ML ","DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,4
"CREATININE JAFFE, 4X250 ML ","DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,2
"CREATININE PAP, 8X28 ML  ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,45
"CREATININE PAP, 8X28 ML  ","DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,1
"CREATININE PAP, 8X28 ML  ","DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,6
"CREATININE, 4X100ML ",DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,1
"CREATININE, 4X100ML ","DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,2
"CRP CHECK-1, PK  ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,16
"CRP IP CALIBRATOR H, 2X1ML ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,2
"CRP IP CONTROL I, 2X1ML","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,2
"CRP IP, 5ML + 2X25ML","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,2
CRP KIT,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 4,,2
cryo tube box -polycarbonate-for 2ml tube -hinged lid ,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",DCLWarehouse - Abuja,,374
cryo tube box -polycarbonate-for 2ml tube -hinged lid ,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,3
cryo tube box -polycarbonate-for 2ml tube -hinged lid ,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 4,,6
cryo tube box -polycarbonate-for 2ml tube -hinged lid ,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 9,,17
Cryo tube-internal thread-2ml,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",DCLWarehouse - Abuja,,3
Cryo tube-internal thread-2ml,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
Cryo tube-internal thread-2ml,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 4,,1
CRYSTAL VIOLET,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,2
cushion for smaller blood bags,"DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,2
Customized LED 3 in one ,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,1
customized sensors 3 in 1,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,1
CUVETTE ROTOR PC,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,82
CUVETTE ROTOR PC,DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,5
CUVETTE ROTOR PC,"DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,4
CUVETTE ROTOR PC,"DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,3
CX 22 OLYMPUS MICROSCOPE,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 5,,2
